,MSR,Margin,Entropy,Dropout,GMM,OC SVM,DF
Class 5,64.52384666683166,63.78338589977351,65.05493965933071,65.70340159126567,17.827469655542725,25.42690852091557,5.552474681437646
Class 0,0.8079402071291915,0.78677212425732,0.8276331304343941,0.8184288721645988,0.0910302841166244,0.14169514944760842,0.6636276985858589
Class 1,0.8570035558528116,0.8384633532113711,0.8933013154660405,0.8708758869808226,0.0696607880134012,0.3891400862894004,0.8554583322373447
Class 2,0.7314102696540912,0.7106831861856902,0.7505250041620617,0.7394406933103489,0.19163644766019194,0.14377700111950453,0.25788561194124604
Class 3,0.7213886314246547,0.7084467681765672,0.7371039340389687,0.7228329326343567,0.1931583311272978,0.19593618639317004,0.33696881413955737
Class 4,0.5660706683376036,0.5397432161840876,0.5873514950813712,0.5899995147583924,0.1741225248104281,0.4468531651436019,0.2462947619915153
Class 6,0.6913601540684874,0.6756542893607222,0.7102903457253558,0.7158305136367076,0.13743470928103568,0.21248859909053552,0.16806326970108468
Class 8,0.8070434841960759,0.7757684159282616,0.8384745330337835,0.8388176189687114,0.2394634395489552,0.4905070035729119,0.7033376457952717
Class 9,0.8188503390495953,0.7967254825803354,0.8310564261475251,0.8319372158927005,0.1280556845550887,0.4457211688161208,0.3917874506044972
Class 7,0.7225942076114428,0.7082205612038476,0.7466292822159273,0.7264424915524411,0.1338538411462372,0.16748396213039285,0.5792861981704673
