,MSR,Margin,Entropy,Dropout,GMM,OC SVM,DF
Class 5,95.89339362626067,95.82853294103052,95.93329227151614,95.87048098453829,77.4536528277511,73.59614373408486,24.13984355152224
Class 0,0.9791012036743744,0.9779088420290512,0.9806064188424816,0.9790604778496764,0.4933358975519254,0.6580471967057333,0.9453995655912032
Class 1,0.9866387391886621,0.9851633533844676,0.9896650441895192,0.9860776055914589,0.22285958491419253,0.9013516004879852,0.9830186025825464
Class 2,0.9666518314039928,0.9656853783305328,0.9677262264105276,0.9630368571458208,0.7507788242778803,0.6327354063370884,0.7444555231693739
Class 3,0.962913963810174,0.9623425918787653,0.9636448639302196,0.9560796925076268,0.7845392570402758,0.7370314651042412,0.813585061509488
Class 4,0.9241747326799218,0.9218996946139404,0.9260142873339088,0.9108980500189934,0.7428687544575929,0.8765674128095925,0.7745860395073171
Class 6,0.9632762256766036,0.9625260152228592,0.9644533466878528,0.9599936436735272,0.7033912490954992,0.7341150714434472,0.6747106636208018
Class 8,0.9778779624093028,0.9763530498932812,0.9797899611025598,0.9778069833394832,0.8439354527258921,0.8807508402602385,0.9442567467653336
Class 9,0.980207770814532,0.9791076176936766,0.9816066479429546,0.9803331577365272,0.6116035648025517,0.9119776091475243,0.8478062910394151
Class 7,0.9666935047384773,0.9653001187438308,0.9682647571085834,0.9602993142522087,0.593521175260343,0.6181405704908136,0.927230480127539
